bms_search_id,name,short_name,release_year,url
2cga3fwHRhBt1i,BOF III - THE BMS OF FIGHTERS 2006 - 前哨戦,BOF2006前哨戦,2006,http://manbow.nothing.sh/event/event.cgi?action=Details&event=35
xALC8qyD6Q2ppJ,Be Happy! 2nd season,Be Happy! 2nd season,2006,http://www.yamajet.com/music/behappy2/
YyEppKmFxaIA8R,Renaissance,Renaissance,2006,https://web.archive.org/web/20100125005241/http://www.bmsjournal.info:80/event/renaissance/download.html
95Z_9kvYt15SfI,dark music BMS Event,dark music BMS Event,2006,http://www.scn-net.ne.jp/~estine/event.html
h3n-VtLN3knnhc,ten:tax,ten:tax,2006,https://web.archive.org/web/20070123032949/http://phantomscape.in/event/10tax/
tJMqXObthRJo7U,東方音弾遊戯,東方音弾遊戯,2006,http://mumei.nobody.jp/toho/
2YHdzYHIQpeZDc,第二回・仮装BMS舞踏会 〜中の人は誰だ!!!!〜,第二回仮装BMS舞踏会,2006,http://manbow.nothing.sh/event/event.cgi?action=List_def&event=28
vTRpGD3p41y4Jo,B.J.Cup 8th stage,B.J.Cup 8th stage,2007,https://web.archive.org/web/20080608160407/http://www.bmsjournal.info/cgi-bin/bjc8/
CmxyoDTfpqNTLS,BEAUTIFULCEMENT,BEAUTIFULCEMENT,2007,
Oa89w54w6eK3pV,BMS Starter Pack 2007,BMS Starter Pack 2007,2007,
HSuumxa4F9OrIF,BMS活性化運動 [SIDE A],BMS活性化運動,2007,http://a-p.cside.ne.jp/k/event1.html
JVIOzPOfASVUD_,BMS活性化運動 [SIDE B],BMS活性化運動 [SIDE B],2007,http://a-p.cside.ne.jp/k/event1.html
FWCzzCpl6zOKlW,Be Happy! 3rd season,Be Happy! 3rd season,2007,http://sky.geocities.jp/behappy3rd/
QH-5A_MS1ndgb3,Chaotic Field,Chaotic Field,2007,http://manbow.nothing.sh/event/event.cgi?action=List_def&event=42
JMvSNq1UDjoiyD,Director's Cut -DC-,Director's Cut -DC-,2007,
V29MwCuvE-tNOf,Hyper Remix 3,Hyper Remix 3,2007,https://web.archive.org/web/20071011053412/http://www.bmsjournal.info/cgi-bin/hr3/
